fullname,head,ogrn,class
"АРХАНГЕЛЬСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ИНВАЛИДОВ ""ПОМОРСКОЕ МИЛОСЕРДИЕ""","АРООИ ""ПОМОРСКОЕ МИЛОСЕРДИЕ""",1022900002212,6
"МЕСТНАЯ МУСУЛЬМАНСКАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ - ПРИХОД МЕЧЕТИ ""ЮГАРЫ ТАБЫН"" С. ВЕРХНИЙ ТАБЫН МУХТАСИБАТА МУСЛЮМОВСКОГО РАЙОНА ЦЕНТРАЛИЗОВАННОЙ РЕЛИГИОЗНОЙ ОРГАНИЗАЦИИ - ДУХОВНОГО УПРАВЛЕНИЯ МУСУЛЬМАН РЕСПУБЛИКИ ТАТАРСТАН",,1151690082785,6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""РОБОЛАТОРИЯ""","АНО ДО ""РОБОЛАТОРИЯ""",1165000055637,5
"САРАТОВСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ЦЕНТР ВЫНУЖДЕННЫХ ПЕРЕСЕЛЕНЦЕВ ""САРАТОВСКИЙ ИСТОЧНИК""","СРОО ЦВП ""САРАТОВСКИЙ ИСТОЧНИК""",1026402200560,10
"ИВАНОВСКОЕ ОБЛАСТНОЕ ОБЩЕСТВЕННОЕ ДВИЖЕНИЕ ПО ОКАЗАНИЮ ПОДДЕРЖКИ МНОГОДЕТНЫМ СЕМЬЯМ ""ДЕТИ И РОДИТЕЛИ""","ИООД ОПМС ""ДЕТИ И РОДИТЕЛИ""",1083700000504,3
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""МЕСТНАЯ ОРГАНИЗАЦИЯ СОВЕТСКОГО РАЙОНА ГОРОДА НОВОСИБИРСКА НОВОСИБИРСКОЙ ОБЛАСТНОЙ ОРГАНИЗАЦИИ ВСЕРОССИЙСКОГО ОБЩЕСТВА ИНВАЛИДОВ""","ОО ""МОСРГН НОО ВОИ""",1025400001472,1
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ МЕСТНАЯ УКРАИНСКАЯ НАЦИОНАЛЬНО-КУЛЬТУРНАЯ АВТОНОМИЯ ""НАДИЯ"" (НАДЕЖДА) ШАРЫПОВСКОГО РАЙОНА","ОО МУНКА ""НАДИЯ"" (НАДЕЖДА) ШР",1092400002067,6
"НИЖЕГОРОДСКАЯ ОБЛАСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""АГЕНТСТВО МОЛОДЕЖНЫХ ИНИЦИАТИВ ""ШАНС""","НООО ""АГЕНТСТВО МОЛОДЕЖНЫХ ИНИЦИАТИВ ""ШАНС""",1165200050938,4
"АЛТАЙСКАЯ КРАЕВАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ УСЫНОВИТЕЛЕЙ ""ДЕНЬ АИСТА""","АКООУ ""ДЕНЬ АИСТА""",1112202000954,3
"ФОНД ""ФОНД СОДЕЙСТВИЯ РАЗВИТИЮ ДЕТСКОГО ТЕАТРАЛЬНОГО ТВОРЧЕСТВА ""РОСТКИ""","ФОНД ""ФСРДТТ ""РОСТКИ""",1033400028793,6
"ВОЛГОГРАДСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""КОННЫЙ КЛУБ ""КОНТУР""","ВРОО ""КК ""КОНТУР""",1173443019078,9
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР РАЗВИТИЯ ЛИЧНОСТИ ""БИЗНЕСМАНИЯ""","АНО ""БИЗНЕСМАНИЯ""",1175275065558,5
"РЕГИОНАЛЬНОЕ ОБЩЕСТВЕННОЕ ДВИЖЕНИЕ ПОДДЕРЖКИ И РАЗВИТИЯ СЕМЬИ ""СЕМЬЯ"" В РЕСПУБЛИКЕ БАШКОРТОСТАН","РЕГИОНАЛЬНОЕ ОБЩЕСТВЕННОЕ ДВИЖЕНИЕ ""СЕМЬЯ""",1120200002548,5
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ХОККЕЙНАЯ КОМАНДА ""МЕТЕОР""","АНО ХК ""МЕТЕОР""",1172901008334,2
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""МИНИ-ФУТБОЛЬНАЯ ЛИГА РЕСПУБЛИКИ ТЫВА""","РОО ""МФЛРТ""",1171700000119,2
"ЛЕНИНГРАДСКАЯ ОБЛАСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ СОЦИАЛЬНОЙ ПОМОЩИ ""СЕМЕЙНЫЙ ИНФОРМАЦИОННЫЙ ЦЕНТР""","ЛО ОО СП ""СИЦ""",1184700001100,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ПСКОВСКИЙ РЕГИОНАЛЬНЫЙ ЦЕНТР ОБРАЗОВАТЕЛЬНЫХ ТЕХНОЛОГИЙ""","АНО ДО ""ПРЦОТ""",1026000958840,9
"МЕЖРЕГИОНАЛЬНЫЙ ФОНД ПОДДЕРЖКИ МОЛОДЕЖНЫХ ИНИЦИАТИВ ""ТАТЬЯНИН ДЕНЬ - ПРИМОРЬЯ""","МФ ""ТАТЬЯНИН ДЕНЬ - ПРИМОРЬЯ""",1142500002237,4
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ КУЛЬТУРНО-ПРОСВЕТИТЕЛЬСКАЯ ОРГАНИЗАЦИЯ ""ИСТОЧНИК""","АН КПО ""ИСТОЧНИК""",1155543003307,4
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ЦЕНТР СОДЕЙСТВИЯ РАЗВИТИЮ ОБРАЗОВАНИЯ УДМУРТСКОЙ РЕСПУБЛИКИ ""ОБРАЗОВАТЕЛЬНЫЙ ВЕКТОР""","ОО ЦСОУР ""ОБРАЗОВАТЕЛЬНЫЙ ВЕКТОР""",1161832063799,5
"МЕЖРЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПО ЗАЩИТЕ ПРАВ ЖЕНЩИН И ДЕТЕЙ ""АССОЛЬ""","МОО ""АССОЛЬ""",1025400008138,8
"ОБЩЕРОССИЙСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПО ВОВЛЕЧЕНИЮ МОЛОДЕЖИ В РАЗВИТИЕ ТЕРРИТОРИЙ ""ГОРОДСКИЕ РЕНОВАЦИИ""","ОООВМРТ ""ГОРОДСКИЕ РЕНОВАЦИИ""; ОБЩЕРОССИЙСКАЯ ОРГАНИЗАЦИЯ ""ГОРОДСКИЕ РЕНОВАЦИИ""",1157700014262,4
"СТАНИЧНОЕ КАЗАЧЬЕ ОБЩЕСТВО ""ГЕОРГИЕВСКОЕ""","СКО ""ГЕОРГИЕВСКОЕ""",1142700001707,2
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ОБНИМАЯ НЕБО""","БФ ""ОБНИМАЯ НЕБО""",1175543000742,2
"ВОЛГОГРАДСКОЕ РЕГИОНАЛЬНОЕ ОБЩЕСТВЕННОЕ УЧРЕЖДЕНИЕ ""МОЛОДЕЖНАЯ ИНИЦИАТИВА""","ВРОУ ""МОЛОДЕЖНАЯ ИНИЦИАТИВА""",1073400002092,2
"КРАСНОДАРСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ПОИСКОВО-АРХЕОЛОГИЧЕСКАЯ ОРГАНИЗАЦИЯ ""АВАНГАРД""",КРОПАО АВАНГАРД,1172375076026,7
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТЕРРИТОРИАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ ""ЯБЛОНЕВЫЙ ЦВЕТ"" ПОСЕЛКА ""КРУТОЯР"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""УНДОРОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ"" УЛЬЯНОВСКОГО РАЙОНА УЛЬЯНОВСКОЙ ОБЛАСТИ","ТОС ""ЯБЛОНЕВЫЙ ЦВЕТ""",1197325011410,2
"СВЕРДЛОВСКОЕ РЕГИОНАЛЬНОЕ ОБЩЕСТВЕННОЕ ДВИЖЕНИЕ ПО БОРЬБЕ С КОРРУПЦИЕЙ И НЕЭФФЕКТИВНОЙ РАБОТОЙ ЧИНОВНИКОВ ""ЗАКОНОПОСЛУШНЫЙ ГРАЖДАНИН""","ДВИЖЕНИЕ ""ЗАКОНОПОСЛУШНЫЙ ГРАЖДАНИН""",1176600000037,8
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ДОЛГОВРЕМЕННОГО УХОДА ЗА ПОЖИЛЫМИ ЛЮДЬМИ И ИНВАЛИДАМИ""","АНО ""ЦЕНТР ДОЛГОВРЕМЕННОГО УХОДА ЗА ПОЖИЛЫМИ ЛЮДЬМИ И ИНВАЛИДАМИ""",1192468009150,1
МЕСТНАЯ ПРАВОСЛАВНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРИХОД ГЕОРГИЕВСКОГО ХРАМА С. КАЗАКИ ЕЛЕЦКОГО РАЙОНА ЛИПЕЦКОЙ ОБЛАСТИ ЕЛЕЦКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ),,1024800008122,10
"МЕСТНАЯ МОЛОДЁЖНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ЧЕРЕПАНОВСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ ПО РАЗВИТИЮ И ПОПУЛЯРИЗАЦИИ ВОЕННО - ПАТРИОТИЧЕСКОГО ДВИЖЕНИЯ ""ЛЕГИОН""","ММОО ЧР НСО ""ЛЕГИОН""",1185476017022,7
"ИРКУТСКОЕ РЕГИОНАЛЬНОЕ ОБЩЕСТВЕННОЕ УЧРЕЖДЕНИЕ ЦЕНТР РАЗВИТИЯ СЕМЬИ ""ВЕСТА""","ИРОУ ЦРС ""ВЕСТА""",1123850019512,3
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""НАЦИОНАЛЬНАЯ ОРГАНИЗАЦИЯ СКАУТСКОГО ДВИЖЕНИЯ РОССИИ""",НОСД,1037746007782,5
ОБЪЕДИНЕННАЯ ПРОФСОЮЗНАЯ ОРГАНИЗАЦИЯ РАБОТНИКОВ УФИМСКОГО ФЕДЕРАЛЬНОГО ИССЛЕДОВАТЕЛЬСКОГО ЦЕНТРА ПРОФСОЮЗА РАБОТНИКОВ РОССИЙСКОЙ АКАДЕМИИ НАУК,ОБЪЕДИНЕННАЯ ПРОФСОЮЗНАЯ ОРГАНИЗАЦИЯ РАБОТНИКОВ УФИЦ РАН,1030200020795,2
"КАЛУЖСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ В ПОДДЕРЖКУ ДЕТЕЙ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ, ДЕТЕЙ-ИНВАЛИДОВ И ИНВАЛИДОВ С ДЕТСТВА ""ГОРОД НАДЕЖДЫ""","КРОО ""ГОРОД НАДЕЖДЫ""",1164027063639,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЦЕНТР ПОДДЕРЖКИ СЕМЕЙ ""ПОМОЩЬ РЯДОМ""","АНО ЦПС ""ПОМОЩЬ РЯДОМ""",1177232023154,9
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""МУЗЫКАЛЬНЫЙ ТЕАТР ОКСАНЫ НАБОЙЧЕНКО""","АНО ""МУЗЫКАЛЬНЫЙ ТЕАТР ОКСАНЫ НАБОЙЧЕНКО""",1194027003125,6
"ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ВОЕННО-ПАТРИОТИЧЕСКОГО ВОСПИТАНИЯ И ПОДГОТОВКИ ГРАЖДАН К ВОЕННОЙ СЛУЖБЕ"" РЕГИОНАЛЬНОГО ОТДЕЛЕНИЯ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННО-ГОСУДАРСТВЕННОЙ ОРГАНИЗАЦИИ ""ДОБРОВОЛЬНОЕ ОБЩЕСТВО СОДЕЙСТВИЯ АРМИИ, АВИАЦИИ И ФЛОТУ РОССИИ"" ПО ЕВРЕЙСКОЙ АВТОНОМНОЙ ОБЛАСТИ","ПОУ ""ЦВПВ РО ДОСААФ РОССИИ ПО ЕАО""",1127900000250,7
"КАРАБУДАХКЕНТСКАЯ МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ОБЩЕСТВО ИНВАЛИДОВ-АМПУТАНТОВ И ИНВАЛИДОВ С НАРУШЕНИЕМ ОПОРНО-ДВИГАТЕЛЬНОЙ СИСТЕМЫ ""ВЕСНА""","ОИА ""ВЕСНА""",1080500000932,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЮРИДИЧЕСКИЙ ЦЕНТР ""ЗАКОНЪ""","АНО ЮРИДИЧЕСКИЙ ЦЕНТР ""ЗАКОНЪ""",1176800000299,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""МЕЖДУНАРОДНАЯ ШКОЛА ФЛОРИСТОВ - ДИЗАЙНЕРОВ ""НЕЙМ""","АНОДО ""МЕЖДУНАРОДНАЯ ШКОЛА ФЛОРИСТОВ - ДИЗАЙНЕРОВ ""НЕЙМ""",1173926025272,5
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТЕРРИТОРИАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ ""СОДРУЖЕСТВО"" ЦЕНТРАЛЬНОГО РАЙОНА ГОРОДА БАРНАУЛА","ОО ""ТОС ""СОДРУЖЕСТВО"" ЦЕНТРАЛЬНОГО РАЙОНА ГОРОДА БАРНАУЛА",1172225003334,6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР СОДЕЙСТВИЯ ОБЩЕСТВЕННЫМ ОБЪЕДИНЕНИЯМ ""СОЦИАЛЬНЫЙ ПРОЕКТ""","АНО ""ЦСОО""СОЦПРОО""",1192724007013,3
"ДАГЕСТАНСКОЕ РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОГО ОБЩЕСТВЕННОГО ДВИЖЕНИЯ ""МОЛОДЕЖНАЯ АССАМБЛЕЯ НАРОДОВ РОССИИ ""МЫ-РОССИЯНЕ""",ООД МОЛОДЕЖНАЯ АССАМБЛЕЯ МЫ-РОССИЯНЕ,1130500002148,10
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""МАСТЕРСКАЯ РУЧНОГО УЗОРНОГО ТКАЧЕСТВА ""СТИЛЬНЫЕ ТРАДИЦИИ""","АНО ""СТИЛЬНЫЕ ТРАДИЦИИ""",1181690065017,6
ФОНД СОДЕЙСТВИЯ РАЗВИТИЮ НАЦИОНАЛЬНЫХ ВИДОВ СПОРТА РЕСПУБЛИКИ САХА (ЯКУТИЯ),ФОНД НВС РС (Я),1161400051053,2
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ СПОРТИВНО-ТЕХНИЧЕСКИЙ КЛУБ ""ФОРСАЖ"" ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА","РОО СТК ""ФОРСАЖ"" ЯНАО",1098900000572,2
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""РАЗНЫЕ ЛЮДИ – РОК-МУЗЫКАНТЫ ПОМОГАЮТ ДЕТЯМ""","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""РАЗНЫЕ ЛЮДИ""",1177700001874,1
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ МНОГОДЕТНЫХ СЕМЕЙ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""ЛАДА НУР""","РООМС ЯНАО ""ЛАДА НУР""",1188901004181,3
"АССОЦИАЦИЯ УЧАСТНИКОВ ПОТРЕБИТЕЛЬСКОГО РЫНКА ""МЕЖОТРАСЛЕВОЙ ЭКСПЕРТНЫЙ СОВЕТ""","""СОВЕТ ПОТРЕБИТЕЛЬСКОГО РЫНКА""",1147799006740,12
"РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ""ЛИВЕНСКАЯ ЕПАРХИЯ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ)""",,1157700005880,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО ЗАЩИТЕ ПРАВ ГРАЖДАН ""ГРАЖДАНСКИЙ КОНТРОЛЬ-НН""","АНО ""ГРАЖДАНСКИЙ КОНТРОЛЬ-НН""",1155200001846,8
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЯ РАЗВИТИ. ДЕТЕЙ С РАССТРОЙСТВАМИ АУТИСТИЧЕСКОГО СПЕКТРА ""РАССКАЖИ О СЕБЕ""","АНО СРДСРАС ""РАССКАЖИ О СЕБЕ""",1192375009969,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""КУЛЬТУРНЫЙ ЦЕНТР ""РУССКАЯ АКТЕРСКАЯ СТУДИЯ""","АНО ""РУССКАЯ АКТЕРСКАЯ СТУДИЯ""",1167700054499,6
"ИРКУТСКАЯ ОБЛАСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""СОЮЗ КОМПОЗИТОРОВ""","ИООО ""СОЮЗ КОМПОЗИТОРОВ""",1033800000948,6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЦЕНТР РАЗВИТИЯ ДЕТЕЙ И МОЛОДЕЖИ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ ""АБВ ЦЕНТР РАЗВИТИЯ""","АНО ""АБВ ЦЕНТР РАЗВИТИЯ""",1192724014845,1
БРЯНСКАЯ ОБЛАСТНАЯ ОРГАНИЗАЦИЯ ПРОФЕССИОНАЛЬНОГО СОЮЗА РАБОТНИКОВ АГРОПРОМЫШЛЕННОГО КОМПЛЕКСА РОССИЙСКОЙ ФЕДЕРАЦИИ,БРЯНСКАЯ ОБЛАСТНАЯ ОРГАНИЗАЦИЯ ПРОФСОЮЗА РАБОТНИКОВ АПК РФ,1023200000724,4
"АРХАНГЕЛЬСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""МУЗЫКАЛЬНО-ИНТЕГРАЛЬНЫЙ ЦЕНТР РАЗВИТИЯ ТВОРЧЕСКИХ СПОСОБНОСТЕЙ И ЭМОЦИОНАЛЬНОГО ЗДОРОВЬЯ ""СИМФОНИЯ""","АРОО ""МИЦ ""СИМФОНИЯ""",1172901009797,1
"АССОЦИАЦИЯ ""ТАМБОВСКИЙ РЕГИОНАЛЬНЫЙ ЦЕНТР ИЗУЧЕНИЯ ДЕМОГРАФИЧЕСКИХ ПРОБЛЕМ И СОЦИАЛЬНО-ПСИХОЛОГИЧЕСКОЙ ПОДДЕРЖКИ МОЛОДЫХ СЕМЕЙ ""МАТЕРИНСКИЙ КАПИТАЛ""","АССОЦИАЦИЯ ""МАТЕРИНСКИЙ КАПИТАЛ""",1146800000566,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""МОРСКАЯ ВОЕННО-ИСТОРИЧЕСКАЯ ЭКСПЕДИЦИЯ ""ВО СЛАВУ ОТЕЧЕСТВА""","АНО ""МВИЭКС""",1137800010457,7
"МЕДИЦИНСКАЯ АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ТВЕРСКОЙ ХОСПИС ""АНАСТАСИЯ""","МАНО ""ТВЕРСКОЙ ХОСПИС ""АНАСТАСИЯ""",1146952013603,2
"ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ЧАСТНОЕ УЧРЕЖДЕНИЕ ""УЧЕБНЫЙ ЦЕНТР ""РУБЕЖ""","ОО ДПО ЧУ ""УЦ ""РУБЕЖ""",1155543029740,2
"ФОНД ПОМОЩИ ДЕТЯМ И МОЛОДЕЖИ ""ОБНАЖЕННОЕ СЕРДЦЕ""","ФОНД ПОМОЩИ ""ОБНАЖЕННОЕ СЕРДЦЕ""",1107799035190,3
РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ КЛУБ ЛЮБИТЕЛЕЙ АКТИВНОГО ОТДЫХА В РЕСПУБЛИКЕ МАРИЙ ЭЛ,РООКЛАОВРМЭ,1161215057178,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""КИНОСТУДИЯ ШКИТ""","АНО ""КИНОСТУДИЯ ШКИТ""",1162225057059,6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ИНФОРМАЦИОННОЙ ПОДДЕРЖКИ НАСЕЛЕНИЯ ""ТЕЛЕИСКУССТВО""","АНО ""ТЕЛЕИСКУССТВО""",1157800002051,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СОЦИАЛЬНОЙ АДАПТАЦИИ ПЕНСИОНЕРОВ ""СЕРЕБРЯНЫЙ ВОЗРАСТ""","АНО САП ""СЕРЕБРЯНЫЙ ВОЗРАСТ""",1162300050990,12
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СОДЕЙСТВИЯ ПАТРИОТИЧЕСКОМУ РАЗВИТИЮ ОБЩЕСТВА ""ЛИДЕР""","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ЛИДЕР""",1157700018420,2
ФОНД ПОДДЕРЖКИ ПЕРМСКОГО БАЛЕТА АЛЕКСЕЯ МИРОШНИЧЕНКО,ФОНД ПОДДЕРЖКИ ПЕРМСКОГО БАЛЕТА АЛЕКСЕЯ МИРОШНИЧЕНКО,1165958120151,6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ИНТЕЛЛЕКТ ПРИБОР""","АНОДО ""ИНТЕЛЛЕКТ ПРИБОР""",1044637012320,5
"НИЖЕГОРОДСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ (НРОО) ""НЕГОСУДАРСТВЕННЫЙ ГУМАНИТАРНЫЙ ЦЕНТР ""МИР ЧЕЛОВЕКА""","НРОО ""НЕГОСУДАРСТВЕННЫЙ ГУМАНИТАРНЫЙ ЦЕНТР ""МИР ЧЕЛОВЕКА"" ЦЕНТР ""МИР ЧЕЛОВЕКА""",1045206339166,3
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ ОДАРЕННЫХ ДЕТЕЙ ""УЛЬКАР""","БФ ""УЛЬКАР""",1160280133650,13
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ-ТЕРРИТОРИАЛЬНОЕ ОБЩЕСТВЕННОЕ САМОУПРАВЛЕНИЕ ""ЗАОЗЁРНЫЙ-1""","ТОС ""ЗАОЗЁРНЫЙ-1""",1025500538172,2
"РЕГИОНАЛЬНОЕ ОБЩЕСТВЕННОЕ УЧРЕЖДЕНИЕ ПОЖАРНОЙ ОХРАНЫ ""ДОБРОВОЛЬНАЯ ПОЖАРНАЯ КОМАНДА ВОЛОГОДСКОЙ ОБЛАСТИ""",ДПК ВОЛОГОДСКОЙ ОБЛАСТИ,1123500000029,12
"НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ФОНД СОДЕЙСТВИЯ СОХРАНЕНИЮ КУЛЬТУРНОГО, ИСТОРИЧЕСКОГО, ВОЕННО-ПАТРИОТИЧЕСКОГО НАСЛЕДИЯ ""ОПАЛЁННАЯ ЮНОСТЬ""","ФОНД ""ОПАЛЁННАЯ ЮНОСТЬ""",1198709000060,6
"""НАЦИОНАЛЬНАЯ АССОЦИАЦИЯ КЕМПИНГОВ И ТУРИСТСКИХ ПАРКОВ""","""НАК""",1167700074574,7
"ЯКУТСКОЕ РЕГИОНАЛЬНОЕ ОБЩЕСТВЕННОЕ ДВИЖЕНИЕ ПО ПОДДЕРЖКЕ ОТВЕТСТВЕННОГО РОДИТЕЛЬСТВА ""Я РЯДОМ"" (""СЭРГЭСТЭЬЭ"")","ЯР ОБЩЕСТВЕННОЕ ДВИЖЕНИЕ ""Я РЯДОМ"" (""СЭРГЭСТЭЬЭ"")",1181447012328,2
"СЕГЕЖСКАЯ РАЙОННАЯ ЖЕНСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""СЕГЕЖАНКА""","ЖОО ""СЕГЕЖАНКА""",1031002193617,12
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""РАДОСТЬ""","БФ ""РАДОСТЬ""",1096300000917,3
"ФОНД ПОДДЕРЖКИ СОЦИАЛЬНЫХ ПРОГРАММ ДЛЯ ЛЮДЕЙ СТАРШЕ 50 ЛЕТ ""ПОРА БЫТЬ СЧАСТЛИВЫМ!""","ФОНД ""ПОРА БЫТЬ СЧАСТЛИВЫМ!""",1177400000546,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""КЛУБ ЛЮБИТЕЛЕЙ ФИГУРНОГО КАТАНИЯ""",АНО КФ,1152651014339,2
"ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЮРГИНСКАЯ АВТОМОБИЛЬНАЯ ШКОЛА"" РЕГИОНАЛЬНОГО ОТДЕЛЕНИЯ ДОСААФ РОССИИ КЕМЕРОВСКОЙ ОБЛАСТИ","ПОУ ""ЮРГИНСКАЯ АШ"" РО ДОСААФ РОССИИ КО",1024202001636,12
ФОНД ПОДДЕРЖКИ РОССИЙСКОГО ГОСУДАРСТВЕННОГО АКАДЕМИЧЕСКОГО МОЛОДЕЖНОГО ТЕАТРА,ФОНД ПОДДЕРЖКИ РАМТ,1167700050308,6
